clause_id,required_clause,evidence_anchors,status,blocking_gap,clause_closed,checkpoint,branch_id,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
CL2978_0_exact_exchange,exact E:Z->-Z symmetry of full source action,SFE2164_1;RDT2800_1;SYM2852_1,CONDITIONAL_ONLY,does not yet own all source/readout variables,False,2978,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:25:18.415089+00:00
CL2978_1_parent_q_kernel,q exists before readout and v_Z in ker(Dq),PDC2356_0;PDC2356_1;OWN2857_1,NOT_PARENT_SIGNED,q/v_Z remains unsigned,False,2978,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:25:18.415089+00:00
CL2978_2_matter_factorization,ordinary matter action factors through q up to exact/proper boundary,DESC2956_0;DESC2956_3;PDC2356_2,CONDITIONAL_ONLY,direct source/worldtube vertices remain legal,False,2978,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:25:18.415089+00:00
CL2978_3_constants_markers,"masses, alpha, clocks, material labels and source constants are Z-silent",DESC2956_4;MUC2537_3;PDC2356_4,MISSING_NO_MARKER_THEOREM,continuous constants and material/source markers survive,False,2978,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:25:18.415089+00:00
CL2978_4_no_shadow_frame,no hidden Weyl/disformal/source-only frame or active current slot,DESC2956_5;MUC2537_5;NSCI2538_5,MISSING_NO_SHADOW_FRAME_THEOREM,non-Hilbert source-current channels remain legal,False,2978,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:25:18.415089+00:00
CL2978_5_variation_before_readout,source current extracted before material/readout projection,DNF2336_2;PDC2356_6;SYN2940_4,CONDITIONAL_ONLY,readout/projector re-entry rows remain finite nonclaim,False,2978,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:25:18.415089+00:00
CL2978_6_boundary_no_flux,"boundary/worldtube/support terms are zero, exact, proper, or bounded",BZT2544_6;PDC2356_7;NBT2891_3,NOT_PARENT_SIGNED,boundary/reference/support ownership is missing,False,2978,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:25:18.415089+00:00
CL2978_7_coupling_owner,coupling/source normalization fixed before readout,NBT2891_4;RCS2446_4;SYN2940_2,REQUIRED_NOT_SIGNED,kappa/source scale and measured GM conventions remain live,False,2978,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:25:18.415089+00:00
CL2978_8_Y5,source-normalization channel is even/topological/bounded,SFE2164_5;RCS2446_4,OPEN_HARD_BLOCK,source normalization can masquerade as a linear source,False,2978,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:25:18.415089+00:00
CL2978_9_Y6,extra-stress channel is even/topological/bounded,SFE2164_5;RCS2446_6,OPEN_HARD_BLOCK,visible coefficients and extra stress can source the residual,False,2978,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:25:18.415089+00:00
CL2978_10_same_branch,"all clauses close in the same parent branch, not separately",RDA2967_7;THM2978_7_verdict,NOT_CLOSED,no single branch signs every clause,False,2978,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:25:18.415089+00:00
