source_id,path,exists,needle_check,role,valid_for_claim,generated_utc
733_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\733-Y5-R10-reduced-GK-action-owner-or-hybrid-q_loc-residual-runner.md,true,true,immediate reduced GK owner / runner handoff,false,2026-06-10T23:41:45+00:00
733_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_733_VALIDATION.csv,true,true,prior validation gate,false,2026-06-10T23:41:45+00:00
733_runner_queue,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_733_HYBRID_QLOC_RESIDUAL_RUNNER_QUEUE.csv,true,true,parent residual runner queue,false,2026-06-10T23:41:45+00:00
733_ward_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_733_WARD_ZERO_GATE.csv,true,true,exact q_loc zero blockers,false,2026-06-10T23:41:45+00:00
732_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\732-Y5-R10-construct-hybrid-pi-observed-quotient-map-or-demote.md,true,true,hybrid pullback lemma source,false,2026-06-10T23:41:45+00:00
732_pullback,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_732_HYBRID_PULLBACK_LEMMA.csv,true,true,conditional vertical-blind derivation,false,2026-06-10T23:41:45+00:00
732_exactness,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_732_QLOC_EXACTNESS_OR_RESIDUAL_GATE.csv,true,true,exact-zero/residual distinction,false,2026-06-10T23:41:45+00:00
518_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\518-Y5-source-normalization-owner-or-q_loc-bound-implementation.md,true,true,Y5/source normalization residual branch,false,2026-06-10T23:41:45+00:00
597_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\597-Y5-R10-reduced-GK-action-owner-or-q_loc-residual-runner.md,true,true,older q_loc residual runner checkpoint,false,2026-06-10T23:41:45+00:00
513_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\513-Gamma-Khat-q_loc-first-variation-or-demotion.md,true,true,q_loc stress-divergence identity,false,2026-06-10T23:41:45+00:00
