component_id,operator_family,input_kind,required_columns,acceptance_rule,current_status
B530_0_source_AB,source_normalization_operator,derive_zero_or_fill_numeric,"coefficient_or_theorem,units,normalization,weak_field_map,source_file,assumptions,valid_for_claim",source equation or EH mass-family theorem gives B_source=A_source^2 after measured-GM normalization,awaiting_parent_derivation_or_numeric_vector
B530_1_R2_fR_scalar,R2_fR_scalar_mode,derive_zero_or_fill_numeric,"coefficient_or_theorem,units,normalization,weak_field_map,source_file,assumptions,valid_for_claim","c_R2=c_fR=0, scalar mass infinite, source coupling zero, or mapped residual below beta/gamma/R10 locks",awaiting_parent_derivation_or_numeric_vector
B530_2_Ricci_Weyl,Ricci_Weyl_squared,derive_zero_or_fill_numeric,"coefficient_or_theorem,units,normalization,weak_field_map,source_file,assumptions,valid_for_claim","coefficients zero, pure topological combination with harmless boundary, or weak-field map below beta/gamma/xi locks",awaiting_parent_derivation_or_numeric_vector
B530_3_scalar_class,scalar_tensor_class_metric,derive_zero_or_fill_numeric,"coefficient_or_theorem,units,normalization,weak_field_map,source_file,assumptions,valid_for_claim","phi/C constant universal with zero stress/source charge, infinite mass, or mapped residual below locks",awaiting_parent_derivation_or_numeric_vector
B530_4_boundary,boundary_topological_terms,derive_zero_or_fill_numeric,"coefficient_or_theorem,units,normalization,weak_field_map,source_file,assumptions,valid_for_claim","pure boundary/topological/class term has no exterior stress, no flux, no monopole shift, and no readout stress",awaiting_parent_derivation_or_numeric_vector
B530_5_projector_domain,projector_domain_stress,derive_zero_or_fill_numeric,"coefficient_or_theorem,units,normalization,weak_field_map,source_file,assumptions,valid_for_claim",projector/domain variables are metric-independent topological masks or first-class constraints with zero exterior stress,awaiting_parent_derivation_or_numeric_vector
B530_6_nonlocal_memory,nonlocal_memory_kernel,derive_zero_or_fill_numeric,"coefficient_or_theorem,units,normalization,weak_field_map,source_file,assumptions,valid_for_claim","compact-local kernel silence, screening, zero norm, or residual map below local locks",awaiting_parent_derivation_or_numeric_vector
B530_7_q_loc,q_loc_Gamma_Khat,derive_zero_or_fill_numeric,"coefficient_or_theorem,units,normalization,weak_field_map,source_file,assumptions,valid_for_claim",Ward-zero through O(U^2) or compact profile maps below beta without violating alpha3/preferred-frame gates,awaiting_parent_derivation_or_numeric_vector
B530_8_torsion_nonmetricity,torsion_nonmetricity,derive_zero_or_fill_numeric,"coefficient_or_theorem,units,normalization,weak_field_map,source_file,assumptions,valid_for_claim",Levi-Civita compatibility theorem or projective/spin modes are inert for all matter/readout sectors,awaiting_parent_derivation_or_numeric_vector
B530_9_vector_preferred_frame,vector_preferred_frame,derive_zero_or_fill_numeric,"coefficient_or_theorem,units,normalization,weak_field_map,source_file,assumptions,valid_for_claim","vector absent, pure gauge, dynamically aligned with zero stress, or mapped below preferred-frame locks",awaiting_parent_derivation_or_numeric_vector
B530_10_bulk_X,bulk_X_force_law,derive_zero_or_fill_numeric,"coefficient_or_theorem,units,normalization,weak_field_map,source_file,assumptions,valid_for_claim",positive source-free mass-gap no-hair or alpha_X(lambda_X) plus PPN/source map below locks,awaiting_parent_derivation_or_numeric_vector
B530_11_readout_frame,observed_readout_frame,derive_zero_or_fill_numeric,"coefficient_or_theorem,units,normalization,weak_field_map,source_file,assumptions,valid_for_claim",same observed metric/coframe theorem through second PPN order,awaiting_parent_derivation_or_numeric_vector
