source_id,source_path,role,needle,exists,needle_found,valid_for_claim,timestamp_utc
SRC4022_00_handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4021_NEXT_TARGET.csv,4021 handoff,NEXT4021_0,True,True,False,2026-07-01T21:56:51+00:00
SRC4022_01_witness,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4021_PARENT_LOCAL_ACTION_WITNESS.csv,4021 no-extra witness,WIT4021_2_no_extra_operators,True,True,False,2026-07-01T21:56:51+00:00
SRC4022_02_lemma_q_loc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4021_DERIVED_ZERO_LEMMAS.csv,q_loc kernel lemma,LEM4021_5_q_loc_vertical_kernel,True,True,False,2026-07-01T21:56:51+00:00
SRC4022_03_stress,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4021_WITNESS_STRESS_TEST_ROWS.csv,4021 stress-test request,STR4021_0_motion_time_space_terms,True,True,False,2026-07-01T21:56:51+00:00
SRC4022_04_R11_audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_LOCAL_EH_R11_OPERATOR_AUDIT.csv,R11 operator audit,R2_fR_scalar_mode,True,True,False,2026-07-01T21:56:51+00:00
SRC4022_05_R11_mapping,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_DOUBLE_ZERO_R11_OPERATOR_MAPPING.csv,double-zero R11 mapping,R2_fR_scalar_mode,True,True,False,2026-07-01T21:56:51+00:00
SRC4022_06_R11_vector,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\R11_nonEH_operator_vector_executable.csv,executable R11 vector,R11_nonEH_operator_vector_executable,True,True,False,2026-07-01T21:56:51+00:00
SRC4022_07_GK_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GAMMA_KHAT_QLOC_FIRST_VARIATION_CONTRACT.csv,Gamma/Khat q_loc contract,GK513_0_action_existence,True,True,False,2026-07-01T21:56:51+00:00
SRC4022_08_GK_decision,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GAMMA_KHAT_QLOC_DECISION.csv,Gamma/Khat decision,D513_0,True,True,False,2026-07-01T21:56:51+00:00
SRC4022_09_domain_decision,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_DOMAIN_SELECTOR_PARENT_ACTION_DECISION.csv,domain selector decision,D0_parent_clause,True,True,False,2026-07-01T21:56:51+00:00
SRC4022_10_source_norm,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_R11_SOURCE_NORMALIZATION_DECISION.csv,source normalization R11 decision,D0_minimum_fill,True,True,False,2026-07-01T21:56:51+00:00
SRC4022_11_EM_once,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4013_MAXWELL_POYNTING_ONCE_ONLY_THEOREM.csv,EM/Poynting once-only,MPE4013_1_Maxwell_Hilbert_stress,True,True,False,2026-07-01T21:56:51+00:00
SRC4022_12_Hodge,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4014_OBSERVED_HODGE_MAXWELL_OWNER_THEOREM.csv,observed Hodge lock,OHN4014_0_observed_Hodge_lock,True,True,False,2026-07-01T21:56:51+00:00
