source_id,source_type,location,needle_or_evidence,purpose,absolute_path_or_url,source_recorded,evidence_recorded,valid_for_claim,claim_allowed
SRC1226_0_1225_next,local,source-intake/mts_residuals/P8_Y5_R10_1225_NEXT_TARGET.csv,1226-Y5-R10-MICROSCOPE-readout-source-acquisition-ledger.md,1225 handoff to MICROSCOPE readout/source acquisition,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1225_NEXT_TARGET.csv,True,True,False,False
SRC1226_1_1225_acquisition,local,source-intake/mts_residuals/P8_Y5_R10_1225_TAU_WEP_SOURCE_ACQUISITION_TABLE.csv,ACQ1225_0_official_readout_arrays,tau_WEP required data objects,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1225_TAU_WEP_SOURCE_ACQUISITION_TABLE.csv,True,True,False,False
SRC1226_2_1225_formula,local,source-intake/mts_residuals/P8_Y5_R10_1225_SYMBOLIC_TAU_WEP_FORMULA.csv,FORM1225_0_tau_WEP_functional,symbolic tau_WEP functional contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1225_SYMBOLIC_TAU_WEP_FORMULA.csv,True,True,False,False
SRC1226_3_1084_readout_gate,local,source-intake/mts_residuals/P8_Y5_R10_1084_MICROSCOPE_READOUT_IMPORT_GATE.csv,RIG1084_0_CMSM_arrays,existing readout import gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1084_MICROSCOPE_READOUT_IMPORT_GATE.csv,True,True,False,False
SRC1226_4_1083_source_vector,local,source-intake/mts_residuals/P8_Y5_R10_1083_SOURCE_VECTOR_CAVEAT_GATE.csv,SCG1083_0_profile_weighting,existing source worldtube/profile weighting gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1083_SOURCE_VECTOR_CAVEAT_GATE.csv,True,True,False,False
SRC1226_5_CMSM_portal,web,https://cmsm-ds.onera.fr/,"official MICROSCOPE data portal; web probe showed REGARDS OSS landing page, but no package enumeration captured in this run",primary public data portal for MICROSCOPE data/documentation,https://cmsm-ds.onera.fr/,True,True,False,False
SRC1226_6_arxiv_ground_segment,web,https://arxiv.org/abs/2201.10841,mission paper says CNES provided raw data and ONERA provided the Science Mission Centre of MICROSCOPE,provenance for CNES/ONERA/CMSM ground segment and data processing,https://arxiv.org/abs/2201.10841,True,True,False,False
SRC1226_7_CNES_project,web,https://cnes.fr/en/projects/microscope,"CNES project page identifies MICROSCOPE mission, partners, final results milestone, and Ti/Pt test masses",official mission/project provenance,https://cnes.fr/en/projects/microscope,True,True,False,False
SRC1226_8_CQG_result_data_availability,web,https://doi.org/10.1088/1361-6382/ac84be,data availability statement points to https://cmsm-ds.onera.fr/ after embargo,published result data-availability provenance,https://doi.org/10.1088/1361-6382/ac84be,True,True,False,False
SRC1226_9_Moriond_data_available,web,https://moriond.in2p3.fr/2023/Gravitation/transparencies/06_friday/01_morning/02_metris.pdf,slides state data and documentation are available at https://cmsm-ds.onera.fr/,secondary public pointer to data and documentation portal,https://moriond.in2p3.fr/2023/Gravitation/transparencies/06_friday/01_morning/02_metris.pdf,True,True,False,False
