source_id,path_or_url,anchor,role,path_exists,anchor_found,valid_for_claim,claim_allowed,generated_utc
SRC2817_0_2816_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2816_NEXT_TARGET.csv,NEXT2816_0_2817,2817 handoff,True,True,False,False,2026-06-24T03:39:03.287609+00:00
SRC2817_1_2816_norm,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2816_KERNEL_NORMALIZATION_MAP.csv,KNM2816_2_hilbert_kernel_definition,Hilbert-normalized kernel convention,True,True,False,False,2026-06-24T03:39:03.287951+00:00
SRC2817_2_2816_csign,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2816_CSIGN_EXPORT_CONVENTION.csv,CSE2816_1_canonical_export,C_sign=+1 convention,True,True,False,False,2026-06-24T03:39:03.288270+00:00
SRC2817_3_2816_zero,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2816_MM_ML_ZERO_PROOF_AUDIT.csv,ZPA2816_4_zero_verdict,direct zero blocker,True,True,False,False,2026-06-24T03:39:03.288636+00:00
SRC2817_4_2816_template,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2816_UPDATED_KMETRIC00_TEMPLATE.csv,KTT2816_0_canonical_template,canonical chain formula,True,True,False,False,2026-06-24T03:39:03.288969+00:00
SRC2817_5_1290_audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1290_METRIC_KERNEL_AUDIT.csv,MKA1290_3_strict_double_zero_branch,strict double-zero route,True,True,False,False,2026-06-24T03:39:03.289318+00:00
SRC2817_6_1291_strict,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1291_STRICT_DOUBLE_ZERO_PARENT_CLAUSE.csv,SDZ1291_5_parent_clause_verdict,strict double-zero parent clause,True,True,False,False,2026-06-24T03:39:03.289732+00:00
SRC2817_7_1368_kernel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1368_M_LCG_KERNEL_HUNT.csv,KERN1368_5_chain_kernel_verdict,kernel hunt verdict,True,True,False,False,2026-06-24T03:39:03.290049+00:00
SRC2817_8_1369_lcg,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1369_LCG_METRIC_RESPONSE_DERIVATION_LEDGER.csv,ML1369_3_chain_zero_gate_update,Lcg chain zero gate,True,True,False,False,2026-06-24T03:39:03.290370+00:00
SRC2817_9_1371_zero,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1371_LOCAL_RESIDUAL_ZERO_OR_BOUND_LEDGER.csv,LRZ1371_3_gradient_source,local residual zero/bound route,True,True,False,False,2026-06-24T03:39:03.290728+00:00
SRC2817_10_1520_lcg,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_LCG_1520_METRIC_SILENCE_THEOREM.csv,ML1520_4_live_claim,Lcg silence not claimed,True,True,False,False,2026-06-24T03:39:03.291078+00:00
