source_id,path,exists,role,contains_text,valid_for_claim,generated_utc
2796_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2796_NEXT_TARGET.csv,True,authoritative 2797 target,True,False,2026-06-24T01:41:48.509245+00:00
2796_synthesis,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2796_SYNTHESIS_ATTEMPT.csv,True,MOMS2794 synthesis failure feeding AX2796_0,True,False,2026-06-24T01:41:48.509728+00:00
2796_axioms,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2796_MISSING_AXIOM_LEDGER.csv,True,AX2796_0 parent-object debt,True,False,2026-06-24T01:41:48.510114+00:00
2796_closure,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2796_CLOSURE_DEMOTION_REGISTER.csv,True,closure-candidate status,True,False,2026-06-24T01:41:48.510519+00:00
2711_derivation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2711_AX1090_DERIVATION_ATTEMPT.csv,True,earlier AX1090_0 derivation attempt,True,False,2026-06-24T01:41:48.510942+00:00
2711_clause_audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2711_PARENT_OBJECT_CLAUSE_AUDIT.csv,True,parent-object clause audit,True,False,2026-06-24T01:41:48.511377+00:00
2711_closure_ledger,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2711_EXPLICIT_CLOSURE_AXIOM_LEDGER.csv,True,prior explicit closure axiom ledger,True,False,2026-06-24T01:41:48.511959+00:00
2710_normal_form,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2710_PARENT_OBJECT_NORMAL_FORM.csv,True,parent object normal form,True,False,2026-06-24T01:41:48.512715+00:00
2710_falsifier,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2710_IRREDUCIBLE_FALSIFIER_GATE.csv,True,irreducible parent-object falsifier gate,True,False,2026-06-24T01:41:48.513579+00:00
1009_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1009-Y5-R10-parent-current-chain-action-contract-or-sector-variation-runner.md,True,parent current-chain contract,True,False,2026-06-24T01:41:48.514775+00:00
formalization_10,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\10-core-consistency-repair.md,True,formal action skeleton and conservation repair,True,False,2026-06-24T01:41:48.515733+00:00
