source_id,local_path,needle,purpose,absolute_path,path_exists,needle_found,valid_for_claim,claim_allowed
SRC1217_0_1216_next,source-intake/mts_residuals/P8_Y5_R10_1216_NEXT_TARGET.csv,1217-Y5-R10-WEP-Cparent-coefficient-map-or-finite-prior-row.md,1216 handoff to C_parent coefficient-map target,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1216_NEXT_TARGET.csv,True,True,False,False
SRC1217_1_1216_pressure,source-intake/mts_residuals/P8_Y5_R10_1216_DD_SOURCE_MATERIAL_PRODUCT_PRESSURE.csv,DDP1216_2_combined_abs,numeric source-material coefficient pressure rows,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1216_DD_SOURCE_MATERIAL_PRODUCT_PRESSURE.csv,True,True,False,False
SRC1217_2_1216_update,source-intake/mts_residuals/P8_Y5_R10_1216_SAME_NORM_PRODUCT_UPDATE.csv,SNU1216_0_formula_update,same-norm product formula with C_parent lock,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1216_SAME_NORM_PRODUCT_UPDATE.csv,True,True,False,False
SRC1217_3_1215_contract,source-intake/mts_residuals/P8_Y5_R10_1215_SAME_NORM_PRODUCT_CONTRACT.csv,SNP1215_0_WEP_formula,absolute same-basis WEP product contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1215_SAME_NORM_PRODUCT_CONTRACT.csv,True,True,False,False
SRC1217_4_1080_Cparent,source-intake/mts_residuals/P8_Y5_R10_1080_C_PARENT_COEFFICIENT_CONTRACT.csv,CP1080_0_definition,original C_parent missing coefficient contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1080_C_PARENT_COEFFICIENT_CONTRACT.csv,True,True,False,False
SRC1217_5_1082_map,source-intake/mts_residuals/P8_Y5_R10_1082_PARENT_TO_DD_COEFFICIENT_MAP_ATTEMPT.csv,PTD1082_4_verdict,prior parent-to-DD map failure,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1082_PARENT_TO_DD_COEFFICIENT_MAP_ATTEMPT.csv,True,True,False,False
SRC1217_6_1086_first_row,source-intake/mts_residuals/P8_Y5_R10_1086_DD_PARENT_MAP_FIRST_ROW_ATTEMPT.csv,PDM1086_4_verdict,first DD coefficient row obstruction,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1086_DD_PARENT_MAP_FIRST_ROW_ATTEMPT.csv,True,True,False,False
SRC1217_7_1086_delta_obstruction,source-intake/mts_residuals/P8_Y5_R10_1086_COMPOSITION_DELTA_OBSTRUCTION.csv,CDO1086_2_cancellation_line,forbidden TA6V-PtRh10 cancellation line,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1086_COMPOSITION_DELTA_OBSTRUCTION.csv,True,True,False,False
SRC1217_8_1086_guard,source-intake/mts_residuals/P8_Y5_R10_1086_NO_CANCELLATION_GUARD.csv,NCG1086_0_no_pair_tuning,no pair tuning policy,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1086_NO_CANCELLATION_GUARD.csv,True,True,False,False
SRC1217_9_1087_source_pack,source-intake/mts_residuals/P8_Y5_R10_1087_DD_COEFFICIENT_SOURCE_PACK.csv,DDSP1087_0_c_alpha,coefficient source requirements,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1087_DD_COEFFICIENT_SOURCE_PACK.csv,True,True,False,False
