source_file,exists,role
594-Y5-R10-choose-quotient-zero-or-diffeo-current-identity-and-close-boundary.md,True,immediate route selection handoff
source-intake/mts_residuals/P8_Y5_BRR545_594_VALIDATION.csv,True,prior validation gate
source-intake/mts_residuals/P8_Y5_R10_594_ROUTE_SELECTION.csv,True,lower-scrutiny route choice
source-intake/mts_residuals/P8_Y5_R10_594_QUOTIENT_MAP_CONSTRUCTION_CONTRACT.csv,True,pi construction contract
source-intake/mts_residuals/P8_Y5_R10_594_MATTER_BLINDNESS_GATE.csv,True,matter blindness blockers
source-intake/mts_residuals/P8_Y5_R10_594_BOUNDARY_CLOSURE_LEDGER.csv,True,boundary/ADM blockers
581-Y5-R10-quotient-vertical-no-pole-parent-theorem-attempt.md,True,conditional no-pole theorem chain
410-quotient-matter-functor-theorem-attempt.md,True,matter functor quotient attempt
414-local-quotient-invariant-algebra-triviality-gate.md,True,local invariant algebra blocker
422-matter-functor-blindness-readout-after-variation-theorem-attempt.md,True,readout-after-variation guard
423-parent-action-minimality-no-extension-theorem-attempt.md,True,no-extension/minimality blocker
592-Y5-R10-fill-PJ-parent-origin-or-source-backed-edge-coefficients.md,True,Noether P/J origin contract
scripts/Y5_R10_construct_pi_observed_quotient_map_or_demote_to_diffeo_current.py,True,this checkpoint generator
