source_id,source_path,anchors,role,path_exists,anchors_found,missing_anchors,checkpoint,branch_id,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
SRC2928_00_2927_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2927-Y5-R2FR-RV2925-metric-readout-DqZ-geometry-Cshadow-first-source-bound-under-AX1090.md,NEXT2927_0_2928;Dln(kappa_MTS);Validation overall: `True`,2927 selected stationary alpha3/coupling-baseline next target,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_01_2927_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2927_NEXT_TARGET.csv,NEXT2927_0_2928;kappa_MTS;ell_J,machine-readable 2928 target,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_02_2927_transfer,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2927_ALPHA3_TO_RV2925_TRANSFER_GATE.csv,TR2927_5_verdict;TRANSFER_FAILS_NONCLAIM,alpha3-to-RV2925 transfer remains blocked,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_03_2927_bound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2927_CSHADOW_FIRST_SOURCE_BOUND_SELECTION.csv,FB2927_A3P2918_3_kappa;FB2927_A3P2918_4_ellJ,2927 attached kappa/ellJ alpha3 product heads,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_04_2919_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2919-Y5-R2FR-stationary-alpha3-flux-zero-theorem-or-beta-source-normalization-kernel-under-AX1090.md,STATIONARY_ALPHA3_ZERO_FAILS_CURRENT_MTS_PARTIAL_QLOC_WIN_ONLY;NEXT2919_0_2920,prior stationary proof attempt and beta fallback,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_05_2919_audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2919_STATIONARY_ALPHA3_FLUX_ZERO_AUDIT.csv,SFA2919_0_stationary_hilbert_current;SFA2919_9_verdict,stationary alpha3 audit,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_06_2919_heads,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2919_ALPHA3_HEAD_REDUCTION_LEDGER.csv,A3H2919_0_q_loc_hilbert;A3H2919_8_total,alpha3 head reduction ledger,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_07_2919_beta,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2919_BETA_SOURCE_NORMALIZATION_FALLBACK_KERNEL.csv,BFB2919_0_beta_law;BFB2919_7_total,beta source-normalization fallback kernel,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_08_2919_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2919_NEXT_TARGET.csv,NEXT2919_0_2920;B_source=A_source^2,beta/source-normalization target,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_09_2918_kernel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2918_ALPHA3_SOURCE_CURRENT_KERNEL.csv,F_kappa_alpha3;F_ellJ_alpha3;Delta_alpha3_abs,alpha3 source-current heads,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_10_2918_products,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2918_ALPHA3_PRODUCT_BOUND_ROWS.csv,A3P2918_3_kappa;A3P2918_4_ellJ,alpha3 product bound rows,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_11_2918_coupling,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2918_COUPLING_OWNER_GATES.csv,COUP2918_3_kappa;COUP2918_4_ellJ,coupling-owner gates,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_12_2578_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PIM_HAMILTONIAN_COUPLING_2578_COUPLING_BASELINE_GATE.csv,COG2578_0_kappa_constant;COG2578_2_ellJ_source_scale;COG2578_4_verdict,PiM/Hamiltonian coupling baseline gate,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_13_2578_residuals,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PIM_HAMILTONIAN_COUPLING_2578_RESIDUAL_INPUT_LEDGER.csv,RES2578_7_delta_kappa;RES2578_8_delta_ellJ,coupling residual input rows,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_14_2695_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2695-Y5-R2FR-kappa-topological-superselection-parent-adoption-or-drift-residual-values.md,S_kappa_top;KAD2695_8_verdict;KRR2695_0_time_drift,conditional topological kappa mechanism and residual map,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_15_2695_kappa,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2695_KAPPA_RESIDUAL_VALUE_REQUIREMENTS_NONCLAIM.csv,KRR2695_0_time_drift;KRR2695_5_bianchi_exchange,source-ready kappa residual requirements,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
SRC2928_16_kappa_map,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_CONSTANT_KAPPA_RESIDUAL_MAP.csv,KR508_0_time_drift;KR508_5_Bianchi_exchange,older constant-kappa residual map,True,True,,2928,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T01:49:42.236313+00:00
